entrada_MB,threads,tempo_t,tempo_c,tempo_d
50,1,43.91,29.838816,10.675525
50,1,43.77,29.916758,10.532888
50,1,46.39,29.805913,10.376231
50,2,22.16,16.032818,5.763859
50,2,25.18,16.381563,5.510872
50,2,25.82,16.697677,5.828389
50,4,12.94,9.345269,3.245059
50,4,12.49,8.980945,3.148514
50,4,15.90,9.339214,3.255591
50,6,9.64,6.890617,2.392235
50,6,9.39,6.554042,2.434326
50,6,11.60,6.378456,2.396496
50,8,8.79,5.881241,2.363726
50,8,7.57,5.070188,2.138937
50,8,8.68,5.929835,2.328857
50,10,10.79,5.290215,2.128403
50,10,7.09,4.737662,1.950338
50,10,6.55,4.434204,1.753413
50,12,6.96,4.562758,1.973638
50,12,9.61,4.839945,1.611649
50,12,6.23,4.241198,1.642702
100,1,88.79,60.090682,21.927939
100,1,90.48,60.304582,21.221908
100,1,88.92,60.611801,21.602401
100,2,51.44,33.230077,11.599531
100,2,47.70,33.103639,10.969186
100,2,49.83,32.434979,10.883859
100,4,27.36,19.394700,7.105449
100,4,32.45,21.666709,6.940856
100,4,32.28,21.557519,6.949526
100,6,22.02,13.506521,4.816287
100,6,18.08,12.731937,4.626757
100,6,21.06,12.813731,4.605439
100,8,17.51,9.989162,3.966318
100,8,15.10,10.287814,4.046844
100,8,14.57,9.930026,3.909299
100,10,16.07,8.675429,3.789667
100,10,12.89,8.666350,3.495875
100,10,16.99,9.694495,3.698846
100,12,12.37,8.389214,3.271196
100,12,13.26,8.634870,3.861841
100,12,14.75,8.075612,3.289401
500,1,447.86,301.843775,103.414186
500,1,443.02,298.344694,105.703889
500,1,450.56,303.292936,106.053715
500,2,242.04,160.826657,56.576930
500,2,240.32,159.941695,56.965961
500,2,240.24,162.029061,53.864367
500,4,138.56,92.939351,29.741208
500,4,131.42,87.601710,31.238809
500,4,134.42,87.531413,31.472119
500,6,98.77,62.934660,23.165487
500,6,99.00,63.884612,23.501228
500,6,99.03,62.940526,23.437406
500,8,80.60,51.077176,19.759264
500,8,80.89,51.058572,19.750512
500,8,80.36,50.601487,19.999106
500,10,72.93,46.541338,19.288204
500,10,71.35,45.400285,17.770894
500,10,74.94,47.946773,17.592252
500,12,67.27,40.238728,17.372344
500,12,68.98,42.072874,17.276152
500,12,67.64,42.133787,18.501520
1000,1,1065.33,746.558935,229.713768
1000,1,961.22,643.478484,238.136922
1000,1,995.18,672.207976,234.686839
1000,2,485.93,322.288853,115.775063
1000,2,484.45,327.869159,110.696120
1000,2,480.72,326.693938,111.396879
1000,4,267.26,178.516000,62.494435
1000,4,262.27,172.970057,63.484514
1000,4,263.12,178.524053,62.796557
1000,6,189.77,123.058577,45.690608
1000,6,213.18,141.497734,47.660772
1000,6,195.69,124.640276,46.766372
1000,8,166.61,112.738448,38.523537
1000,8,159.05,101.421151,38.743885
1000,8,156.69,100.072919,38.898350
1000,10,138.64,87.282997,34.343142
1000,10,137.62,85.263719,35.459582
1000,10,137.60,85.235586,35.110572
1000,12,135.59,85.021342,33.359335
1000,12,130.23,79.007647,33.599704
1000,12,135.92,85.545211,32.805123
