entrada_MB,threads,tempo_s
20,1,42.91
20,2,24.40
20,3,18.18
20,4,14.59
20,5,12.66
20,6,11.68
20,7,11.71
20,8,11.73
20,9,11.72
20,10,11.32
20,11,11.19
20,12,11.16
50,1,107.78
50,2,61.11
50,3,45.72
50,4,35.93
50,5,32.98
50,6,38.41
50,7,38.66
50,8,35.63
50,9,32.68
50,10,29.13
50,11,28.78
50,12,31.13
100,1,234.88
100,2,133.86
100,3,97.40
100,4,73.09
100,5,62.77
100,6,57.27
100,7,60.16
100,8,58.04
100,9,57.22
100,10,57.12
100,11,56.63
100,12,56.21
500,1,1076.04
500,2,613.75
500,3,458.26
500,4,361.39
500,5,314.04
500,6,289.13
500,7,290.73
500,8,289.34
500,9,286.92
500,10,286.39
500,11,280.89
500,12,292.76
1000,1,2156.39
1000,2,1225.53
1000,3,919.06
1000,4,725.23
1000,5,626.66
1000,6,570.40
1000,7,588.79
1000,8,580.21
1000,9,574.08
1000,10,565.51
1000,11,562.83
1000,12,560.95
